,Title,English,Type,Episodes,Status,Start_Aired,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users
507,Koi wa Ameagari no You ni,After the Rain,TV,12.0,Finished Airing,2018,Wit Studio,Manga,Drama,Workplace,Seinen,22.0,PG-13 - Teens 13 or older,7.501,110050.0
508,Demi-chan wa Kataritai: Demi-chan no Natsuyasumi,Interviews With Monster Girls The Demi-chans' Summer Break,ONA,1.0,Finished Airing,2017,A-1 Pictures,Manga,Comedy,School,Seinen,23.0,PG-13 - Teens 13 or older,7.491,45866.0
509,Donten ni Warau,Laughing Under the Clouds,TV,12.0,Finished Airing,2014,Doga Kobo,Manga,Action,Historical,Shoujo,23.0,PG-13 - Teens 13 or older,7.491,44839.0
510,Hellsing,Hellsing,TV,13.0,Finished Airing,2001,Gonzo,Manga,Action,Adult Cast,Seinen,23.0,R - 17+ (violence & profanity),7.491,343935.0
511,Heppoko Jikken Animation Excel♥Saga,Excel Saga,TV,26.0,Finished Airing,1999,J.C.Staff,Manga,Comedy,Gag Humor,Seinen,24.0,R - 17+ (violence & profanity),7.491,47015.0
512,Owari no Seraph,Seraph of the End Vampire Reign,TV,12.0,Finished Airing,2015,Wit Studio,Manga,Action,Military,Shounen,23.0,R - 17+ (violence & profanity),7.491,662430.0
513,One Punch Man 2nd Season,One Punch Man Season 2,TV,12.0,Finished Airing,2019,J.C.Staff,Web manga,Action,Parody,Seinen,23.0,R - 17+ (violence & profanity),7.481,880352.0
514,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,My Next Life as a Villainess All Routes Lead to Doom!,TV,12.0,Finished Airing,2020,SILVER LINK.,Light novel,Comedy,Reincarnation,Shoujo,24.0,PG-13 - Teens 13 or older,7.481,208326.0
515,Tonari no Kaibutsu-kun,My Little Monster,TV,13.0,Finished Airing,2012,Brain's Base,Manga,Comedy,School,Shoujo,24.0,PG-13 - Teens 13 or older,7.481,560082.0
516,Bobobo-bo Bo-bobo,Bobobo-bo Bo-bobo,TV,76.0,Finished Airing,2003,Toei Animation,Manga,Adventure,Gag Humor,Shounen,25.0,PG-13 - Teens 13 or older,7.481,36837.0
517,Kaichou wa Maid-sama!: Omake dayo!,Maid Sama! It's an Extra!,Special,1.0,Finished Airing,2011,J.C.Staff,Manga,Comedy,School,Shoujo,13.0,PG-13 - Teens 13 or older,7.481,64020.0
518,Kaleido Star: Aratanaru Tsubasa - Extra Stage,Kaleido Star New Wings Extra Stage,OVA,1.0,Finished Airing,2004,Gonzo,Original,Adventure,Performing Arts,Shoujo,24.0,PG - Children,7.481,6947.0
519,Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,Unlimited Psychic Squad,TV,12.0,Finished Airing,2013,Manglobe,Original,Action,Super Power,Shounen,24.0,R - 17+ (violence & profanity),7.481,57835.0
520,Yu☆Gi☆Oh! Duel Monsters,Yu-Gi-Oh!,TV,224.0,Finished Airing,2000,Gallop,Manga,Action,Strategy Game,Shounen,23.0,PG-13 - Teens 13 or older,7.471,232913.0
521,Sora no Otoshimono: Forte,Heaven's Lost Property Forte,TV,12.0,Finished Airing,2010,AIC ASTA,Manga,Comedy,Harem,Shounen,23.0,PG-13 - Teens 13 or older,7.471,161340.0
522,5-toubun no Hanayome Movie,The Quintessential Quintuplets Movie,Movie,1.0,Finished Airing,2022,Bibury Animation Studios,Manga,Comedy,Harem,Shounen,136.0,PG-13 - Teens 13 or older,7.471,2676.0
523,Akame ga Kill!,Akame ga Kill!,TV,24.0,Finished Airing,2014,White Fox,Manga,Action,Gore,Shounen,23.0,R - 17+ (violence & profanity),7.471,196941.0
524,Ajin Part 1: Shoudou,Ajin Demi-Human Movie 1 Compel,Movie,1.0,Finished Airing,2015,Polygon Pictures,Manga,Action,Gore,Seinen,104.0,R - 17+ (violence & profanity),7.461,16016.0
525,Gabriel DropOut,Gabriel DropOut,TV,12.0,Finished Airing,2017,Doga Kobo,Manga,Comedy,Mythology,Shounen,23.0,PG-13 - Teens 13 or older,7.461,220011.0
526,Joshiraku,Joshiraku,TV,13.0,Finished Airing,2012,J.C.Staff,Manga,Comedy,Gag Humor,Shounen,24.0,PG-13 - Teens 13 or older,7.461,43570.0
527,Magic Knight Rayearth,Magic Knight Rayearth,TV,20.0,Finished Airing,1994,Tokyo Movie Shinsha,Manga,Adventure,Isekai,Shoujo,24.0,PG-13 - Teens 13 or older,7.461,26795.0
528,Pokemon Generations,Pokémon Generations,ONA,18.0,Finished Airing,2016,OLM,Game,Action,Strategy Game,Kids,4.0,PG - Children,7.451,31566.0
529,Taiho Shichau zo,You're Under Arrest,OVA,4.0,Finished Airing,1994,Studio Deen,Manga,Action,Detective,Seinen,30.0,PG-13 - Teens 13 or older,7.451,7191.0
530,To LOVE-Ru Darkness 2nd,To LOVE Ru Darkness 2,TV,12.0,Finished Airing,2015,Xebec,Manga,Comedy,Harem,Shounen,23.0,R+ - Mild Nudity,7.451,126841.0
531,Uchuu no Kishi Tekkaman Blade,Tekkaman Blade,TV,49.0,Finished Airing,1992,Tatsunoko Production,Original,Action,Mecha,Shounen,25.0,R - 17+ (violence & profanity),7.451,5250.0
